0004000000030500	ASSJ	スーパーストリートファイターIV 3D EDITION
00040000000C4F00	ACLK	Girls Style 패션 리더 선언!
00040000000F5F00	ADWK	도라에몽 진구의 수학 대모험
00040000000EC700	BSKE	Etrian Odyssey™ Untold: The Millennium Girl
000400000008AE00	QAPE	Wario Land™ 3
0004000000106A00	JRDJ	どこぽんちょいす DRAGON BALL カラー版 孫悟空修業編 1～4巻+おまけパック
0004000000107100	JRHJ	どこぽんちょいす モンスターハンター 閃光の狩人 Vol.1 1～5巻+おまけパック
00040000000A4900	TBKP	Ninja Gaiden II™: The Dark Sword of Chaos
0004000E000F1F00	JTRJ	更新データ Ver. 1.2 ポケモントレッタラボ メインシステム
00040000000E8700	BMBJ	ムシブギョー
00040000000F4900	BGMJ	ガーデニングママ:ママと森のなかまたち
00040000000FB600	JLCJ	リトルドールプリンセス ～料理編～
0004000000107200	JR2J	どこぽんちょいす 新世紀エヴァンゲリオン Vol.1 1～5巻+おまけパック
0004000000106C00	JR4J	どこぽんちょいす 魔法少女リリカルなのはViVid Vol.1 1～5巻+おまけパック
00040000000B3900	ARJJ	鉄道にっぽん!路線たび 長良川鉄道編
0004000E000CF400	AYWJ	更新データ Ver. 1.2 妖怪ウォッチ
00040000000F2100	JD7P	Darts Up 3D
00040000000EB200	JD7E	Darts Up 3D
00040000000F1A00	JAXP	Mahjong 3D – Essentials
0004000000100900	AH4Z	MONSTER HUNTER 4 (日文版)
00040000000D0100	TAVE	Summer Carnival '92 RECCA
00040000000C3D00	ATHZ	THEATRHYTHM FINAL FANTASY
00040000000F3600	JBNJ	ブランチ☆パニック!
00040000000B2800	RCCP	Pinball: Revenge of the Gator
0004000E000D5A00	AYME	Mario & Luigi™: Dream Team Update
00040000000EF100	RCDJ	ロックマンワールド2
0004000E00060600	AYMJ	更新データ Ver. 1.1 マリオ&ルイージ RPG4 ドリームアドベンチャー
0004000000105C00	JT4W	爆走老精靈
00040000000FD400	ABZZ	Boulder Dash-XL 3D
0004000E000D9000	AYMP	Mario & Luigi™: Dream Team Bros. Update
00040000000FE900	BSPJ	SPEC～干～
00040000000F5400	AEJJ	パックワールド
0004000E000DC700	AK2J	更新データ Ver. 1.1 熱血硬派くにおくんSP 乱闘協奏曲
0004000E000EF000	JDRJ	更新データ Ver. 1.4 電波人間のRPG3
00040000000F7D00	AXSP	Inazuma Eleven® 3: Kettenblitz
00040000000F7B00	AXBP	Inazuma Eleven® 3: Explosion
00040000000EC500	NADA	NinoTool
000400000010D000	JAWJ	いっしょにフォト ピクミン
000400000010CD00	JFKJ	いっしょにフォト どうぶつの森
000400000010B200	GA4J	なぞぷよ
00040000000EA100	TDKJ	かんしゃく玉なげカン太郎の 東海道五十三次
00040000000EA200	TDLJ	アトランチスの謎
00040000000FD300	AGKZ	逆轉裁判 5 (英文版)
00040000000F7C00	AXBZ	Inazuma Eleven® 3: Fuego explosivo
00040000000F7E00	AXSZ	Inazuma Eleven® 3: Rayo celeste
000400000009E400	TBBE	Tecmo Bowl™
000400000010B300	GA5J	シャイニング･フォース外伝I 遠征･邪神の国へ
0004000E000DCA00	BDWJ	更新データ Ver. 1.1 ダンボール戦機W 超カスタム
00040000000B7400	JRGP	Rage of the Gladiator
00040000000C1700	JARP	AiRace Speed
00040000000F1E00	AGKP	Phoenix Wright™: Ace Attorney™ – Dual Destinies
00040000000D4A00	JSWP	Star Wars Pinball
00040000000F2E00	JH8P	Happy Circus
00040000000CB400	ARVP	Sonic Lost World™
0004000E000B4A00	AVCJ	更新データ Ver. 1.1 とんがりボウシと魔法の町
00040000000EE100	BCBJ	戦闘中 伝説の忍とサバイバルバトル!
00040000000F1C00	AERP	Meine Tierarztpraxis 3D - Einsatz auf dem Land
00040000000AAC00	JRGE	Rage of the Gladiator
00040000000DD900	AH9E	Hakuoki: Memories of the Shinsengumi
00040000000E6800	JSWE	Star Wars Pinball
00040000000EB900	JC6E	Cut the Rope
00040000000F4100	BEXJ	エクステトラ
00040000000EF400	RCEJ	ロックマンワールド3
000400000010B400	GA6J	なぞぷよ2
00040000000EE500	AX7J	Starry☆Sky～in Winter～3D
00040000000C5400	ARVJ	ソニック ロストワールド
00040000000A6800	TBPE	Solomon's Key™
00040000000E7900	AFYP	FIFA 14
00040000000E7A00	AFYD	FIFA 14
00040000000A2F00	JARE	AiRace Speed
00040000000F2B00	JAXE	Mahjong 3D - Essentials
00040000000DEA00	AFYE	FIFA 14
00040000000D2300	AD6E	Scribblenauts™ Unmasked:  A DC Comics Adventure
00040000000F1400	AGKE	Phoenix Wright®: Ace  Attorney® - Dual Destinies
00040000000B3300	TBWP	Milon´s Secret Castle
00040000000D7900	JMLE	Mystery Murders: The Sleeping Palace
0004000000104E00	JTAJ	@SIMPLE DLシリーズ Vol.17 THE オセロ
0004000000086D00	JFAE	Carps & Dragons
00040000000E6E00	JPPE	Family Table Tennis 3D
0004000000105900	ASJV	Etrian Odyssey Ⅳ Legends of the Titan (英文版)
0004000000105800	ASJX	世界樹の迷宮Ⅳ 伝承の巨神 (日文版)
000400000010B000	JGCK	GUNMAN STORY
00040000000F5800	BUWJ	ワンピース アンリミテッドワールドR
00040000000C0000	AZSJ	星霜のアマゾネス
00040000000EF700	RCFJ	ロックマンワールド4
00040000000D2800	AR4E	Rune Factory 4
00040000000F0500	JBYJ	大合奏!バンドブラザーズP しもべツール
0004000000106900	JNKZ	Nurikabe by Nikoli
000400000010DE00	NAFA	O-Power ROM
00040000000CBE00	ARXP	Beyblade Evolution
00040000000ED200	AY8E	Wipeout Create & Crash
00040000000E6500	BSFE	Skylanders SWAP Force™
00040000000B0500	AHKE	Travel Adventures with Hello Kitty®
00040000000FF900	QA5J	スーパーマリオブラザーズデラックス
0004000000110D00	SPKJ	BRAVELY DEFAULT For the Sequel 3D映像
00040000000FEB00	AGKY	Phoenix Wright: Ace Attorney - Dual Destinies
0004000E00095C00	AMQJ	更新データ Ver. 1.1 ディズニー マジックキャッスル
00040000000F4000	BDNJ	ダンボール戦機ウォーズ
00040000000F7800	ASJY	세계수의 미궁 Ⅳ (영어)
00040000000F7700	ASJZ	세계수의 미궁 Ⅳ (일본어)
0004000E000C0100	ALMJ	更新データ Ver. 2.0 マギ はじまりの迷宮
00040000000AE800	JBWE	Family Bowling 3D
00040000000D4700	JHRE	Halloween: Trick or Treat 2
0004000000101D00	JETE	PICROSS e3
00040000000EBC00	JH8E	Happy Circus
000400000010CF00	ARVZ	Sonic Lost World™ (英文版)
00040000000CC400	AHNJ	初音ミク Project mirai 2
000400000010DB00	JBNW	邦妮早午餐
0004000000108000	JWKJ	ワケダス
0004000000107B00	JZBE	Escape From Zombie City
00040000000F9300	TDTJ	BUBBLE BOBBLE
0004000000095200	JMTE	Aqua Moto Racing 3D™
000400000009E800	ASBE	Super Black Bass 3D
00040000000EE300	BD6J	たまごっち! せーしゅんのドリームスクール
0004000000104A00	BJPJ	ジュエルペット カフェで魔法のクッキング!
00040000000FA500	BC5J	クッキングママ5
00040000000AFD00	AX4J	メタルマックス4 月光のディーヴァ
0004000000102500	JC3Z	Slitherlink by Nikoli
0004000000107400	JCXZ	Bike Rider DX
00040000000EC200	BZLJ	ゼルダの伝説 神々のトライフォース2
00040000000F3100	AL6D	Professor Layton und das Vermächtnis von Aslant™
00040000000F3200	AL6F	Professeur Layton et l'héritage des Aslantes™
00040000000F3500	AL6H	Professor Layton en de Erfenis van de Azran™
00040000000F3400	AL6I	Il professor Layton e l’eredità degli Aslant™
00040000000F3300	AL6S	El profesor Layton y el legado de los ashalanti™
00040000000F3000	AL6P	Professor Layton and the Azran Legacy™
000400000010B800	MBSP	Treasures of the World (Barcelona, Paris, Rome)
0004000000100B00	GATJ	ソニック･ザ･ヘッジホッグ
0004000000105300	BNGJ	バンダイナムコゲームス PRESENTS Jレジェンド列伝
00040000000ACC00	AGYJ	ガイストクラッシャー
00040000000F4C00	AY4J	子供に安心して与えられるゲームシリーズ 世界名作童話 親子で読めるゲーム絵本 プリンセス編
00040000000F4D00	AY5J	子供に安心して与えられるゲームシリーズ 世界名作童話 親子で読めるゲーム絵本 冒険編
0004000000102700	BW4J	ワールドサッカー ウイニングイレブン 2014
0004000000108300	JVZJ	グレコからの挑戦状! 英単語の島とオバケたち STEP1
0004000000108400	JV2J	グレコからの挑戦状! 英単語の島とオバケたち STEP2
0004000000103500	JDKJ	@SIMPLE DLシリーズ Vol.21 THE 鑑識官 ～File.1 緊急捜査!重要証拠をタッチせよ!～
00040000000F2C00	JAJE	Brunch Panic
00040000000F7000	AYBZ	My Vet Practice 3D - In the Country
00040000000F7100	AYYP	My Little Baby 3D
00040000000B2F00	TBUP	City Connection™
00040000000C3000	JYJP	Snow Moto Racing 3D
00040000000FCE00	AH9P	Hakuoki: Memories of the Shinsengumi
00040000000B2700	RCCE	Pinball: Revenge of the Gator
00040000000EBE00	JP8E	101 Penguin Pets 3D
0004000000097400	JYJE	Snow Moto Racing 3D™
0004000E000DBD00	AAUJ	更新データ Ver. 1.3 SIMPLEシリーズ for ニンテンドー3DS Vol.1 THE 麻雀
0004000000101F00	AD5Z	Cloudy With a Chance of Meatballs 2
00040000000D5B00	ANYE	Teenage Mutant Ninja Turtles™
0004000000081700	JHLE	Hulu Plus
00040000000EC300	BZLE	The Legend of Zelda™: A Link Between Worlds
0004000E000AFC00	ADJJ	更新データ Ver. 1.1 デジモンワールド Re:Digitize Decode
000400000009BC00	AQMP	Gummy Bears Mini Golf
00040000000F2400	ANXE	SpongeBob SquarePants™: Plankton's Robotic Revenge
00040000000BCA00	JMBP	Moorhuhn: Director's Cut 3D
0004000000071600	TASP	Wario's Woods
00040000000C8C00	ARVE	Sonic Lost World™
00040000000D6B00	AZEE	Batman: Arkham Origins Blackgate
00040000000F9900	AHXE	Hometown Story™
00040000000B4400	AJEE	Jewel Master: Cradle Of Egypt 2 3D
00040000000FCF00	AYYE	My Little Baby 3D
0004000000103800	JDUJ	@SIMPLE DLシリーズ Vol.18 THE 将棋
0004000000103700	JDVJ	@SIMPLE DLシリーズ Vol.19 THE 囲碁
0004000000103900	JDWJ	@SIMPLE DLシリーズVol.20 THE カード ～大富豪 ポーカー ブラックジャック～
0004000000110700	JBXJ	ビッグバス アーケード
00040000000F8F00	TDRJ	半熟英雄
00040000000EC400	BZLP	The Legend of Zelda™: A Link Between Worlds
00040000000F0B00	AEFE	Monster High™: 13 Wishes™
0004000000106700	BKPJ	キャラペット つくって!そだてて! キャラクター小学校
00040000000D7000	AZEP	Batman: Arkham Origins Blackgate
00040000000F2000	JAJP	Brunch Panic
00040000000A4B00	TBLE	Star Soldier™
00040000000EBD00	AEBE	Regular Show: Mordecai & Rigby in 8-Bit Land
0004000E00055D00	EKJA	Pokémon X Update Ver. 1.5
0004000E00055E00	EK2A	Pokémon Y Update Ver. 1.5
00040000000F9D00	BASJ	黒子のバスケ 勝利へのキセキ
000400000010B500	GA7J	なぞぷよ アルルのルー
000400000009F000	AQAJ	メダロットDUAL クワガタVer.
000400000009EF00	AQVJ	メダロットDUAL カブトVer.
00040000000F6C00	AYXJ	遊戯王ZEXAL 激突!デュエルカーニバル!
0004000000111700	ADYJ	ディズニーインフィニティ トイ･ボックス･チャレンジ
00040000000FB400	AYCJ	モデル☆おしゃれオーディション ドリームガール
0004000E000D8E00	BHPJ	更新データ Ver. 1.2 ほっぺちゃん つくって!あそんで!ぷにぷにタウン!
0004000000103100	BSDJ	難攻不落三国伝～蜀と時の銅雀～
00040000000F4300	AEJP	PAC-MAN and the Ghostly Adventures
00040000000A0B00	ANEJ	大合奏!バンドブラザーズP
0004000000105500	AGCP	Madagascar 3 & The Croods: COMBO PACK
00040000000FD000	AEBP	Regular Show™: Mordecai & Rigby in 8-Bit Land
00040000000E5700	JHRP	Halloween: Süßes oder Saures 2
0004000000100800	JAFJ	アウトドアズ･アンリーシュド アフリカ3D
00040000000EFA00	RCGJ	ロックマンワールド5
00040000000D8600	JH3J	@SIMPLE DLシリーズ Vol.22 THE 歩兵～戦場の犬たち～
0004000000112E00	JR6J	どこぽんちょいす DRAGON BALL カラー版 レッドリボン軍編 1～5巻+おまけパック
00040000000EA500	BDCJ	ドラちえ ミニドラ音楽隊と7つの知恵
00040000000F4200	BAKJ	アイカツ!2人のmy princess
00040000000F5000	AXAJ	仮面ライダー トラベラーズ戦記
0004000000103200	BWNJ	わんニャンペットショップ
00040000000FB300	BTCJ	トリコ アルティメットサバイバル
00040000000C8100	AG5W	紙片瑪利歐 超級貼紙
00040000000F4400	ANXP	SpongeBob SquarePants™: Plankton's Robotic Revenge
00040000000EDE00	AZBP	Power Rangers Megaforce
00040000000F7900	ANYP	Teenage Mutant Ninja Turtles™
0004000000109000	AEGZ	Doodle Jump Adventures
00040000000DE300	JDLP	3D Ecco The Dolphin
00040000000F7F00	AXGP	Inazuma Eleven® 3: Team Oger greift an!
00040000000F8000	AXGZ	Inazuma Eleven® 3:  ¡La amenaza del Ogro!
0004000E000CF600	BCCJ	更新データ Ver. 1.1 CONCEPTIONⅡ 七星の導きとマズルの悪夢
0004000000102900	JETP	PICROSS e3
00040000000ED000	JWKP	WAKEDAS
00040000000ED900	AY7P	Bella Sara 2 - The Magic of Drasilmare
00040000000F7A00	ANDP	Angry Birds™ Star Wars® 
00040000000F1B00	AEQP	Ben 10 Omniverse™ 2
00040000000F7600	JPMP	Chibi-Robo!™ Let’s Go, Photo!
00040000000F8200	ATSP	Mario Party™: Island Tour
0004000000107600	ARDZ	Arcade Classics 3D
00040000000C5800	JANE	Angry Bunnies
00040000000CBF00	ARXE	Beyblade Evolution
00040000000B3200	TBWE	Milon's Secret Castle®
00040000000E7100	AZBE	Saban's Power Rangers Megaforce
00040000000D2000	AL5E	LEGO® Marvel™ Super Heroes: Universe in Peril
0004000000102B00	AL5Y	LEGO® Marvel™ Super Heroes: Universe in Peril
00040000000EB800	AHXJ	ホームタウンストーリー
00040000000DB600	BTRJ	BRAVELY DEFAULT -For the Sequel-
0004000000103600	JDSJ	@SIMPLE DLシリーズ Vol.23 THE 鑑識官 ～File.2 緊急出動!落ちたホシを追え!～
0004000000111D00	JSTJ	スチームワールド ディグ
00040000000F6100	AMXK	진 여신전생Ⅳ
00040000000F1200	AEJE	PAC-MAN and the Ghostly Adventures
000400000010BE00	BALJ	星のカービィ トリプルデラックス
00040000000C2B00	AR2P	Mystery Case Files Return to Ravenhearst
0004000000079600	JRSP	Jett Rocket II: The Wrath of Taikai
0004000000104300	JMFJ	マイティー スイッチ フォース!
00040000000EA300	QAXJ	真･女神転生デビルチルドレン 黒の書
00040000000EA400	QAYJ	真･女神転生デビルチルドレン 赤の書
00040000000F0D00	AEGE	doodle jump adventures
000400000006E800	TABE	Super Mario Bros.™ 3
00040000000F8100	ATSE	Mario Party™ Island Tour
00040000000F2D00	AEQE	Ben 10 Omniverse™ 2
00040000000F0800	JKRP	KORG M01D
00040000000F1100	ALXE	Luxor™
0004000000071500	TASE	Wario's Woods™
00040000000C6E00	ASAE	Secret Agent Files: Miami
0004000000087400	JMBE	Crazy Chicken: Director's Cut 3D
00040000000F1000	AELE	4 Elements
00040000000F6E00	AYAZ	My Baby Pet Hotel 3D
00040000000F1600	JKRE	KORG M01D
00040000000DF800	BGAJ	進撃の巨人～人類最後の翼～
000400000010EC00	BHKJ	ハローキティとまほうのエプロン リズムクッキング♪
00040000000B6D00	JRZJ	燐光のランツェ
000400000010BB00	BGSJ	イナズマイレブンGO ギャラクシー スーパーノヴァ
000400000010BA00	BGVJ	イナズマイレブンGO ギャラクシー ビッグバン
0004000000112700	BLCJ	子猫のアルバム～My Little Cat～
0004000000108500	JV3J	グレコからの挑戦状! 英単語の島とオバケたち STEP3
0004000000108600	JV4J	グレコからの挑戦状! 英単語の島とオバケたち STEP4
0004000000104800	BBBJ	メタルファイト ベイブレード 4DxZEROG アルティメットトーナメント
0004000000105400	BP2J	プリティーリズム･レインボーライブ きらきらマイ☆デザイン
00040000000FB500	JLSJ	リトルドールプリンセス ～おやつ編～
00040000000D5700	AL8D	Nintendo 3DS™ Guide: Louvre (German Version)
00040000000D5600	AL8F	Nintendo 3DS™ Guide: Louvre (French Version)
00040000000D5800	AL8I	Nintendo 3DS™ Guide: Louvre (Italian Version)
00040000000CB900	AL8P	Nintendo 3DS™ Guide: Louvre (English Version)
00040000000D5900	AL8S	Nintendo 3DS™ Guide: Louvre (Spanish Version)
00040000000F8300	BRDP	One Piece Romance Dawn
0004000000087100	JRSE	Jett Rocket II: The Wrath of Taikai
00040000000D3000	JYTJ	YouTube
00040000000D1500	AL5P	LEGO Marvel Super Heroes: Universe in Peril
00040000000B0F00	JYTE	YouTube
00040000000DF600	AAVE	Barbie™ Dreamhouse Party™
00040000000E6B00	AEAE	Hot Wheels World’s Best Driver™
00040000000FC600	BTRP	Bravely Default™
00040000000D6400	AJUZ	Jewel Match 3
00040000000E5600	JXMP	Weihnachtswunderland 3
00040000000F2200	ANDE	Angry Birds™ Star Wars® 
00040000000FE700	JWCE	World Conqueror 3D
00040000000ECD00	AY9E	Adventure Time™: Explore the Dungeon Because I DON’T KNOW!
00040000000F4A00	ASXE	Secret Mysteries in New York
00040000000B6300	ANLE	Girls' Fashion Shoot
000400000010F000	JEPJ	ピクロスe4
0004000000100400	TD2J	Chack'n Pop
00040000000ED100	AVHE	SENRAN KAGURA Burst
0004000000107900	AWWZ	Word Wizard 3D
00040000000F0E00	AEHE	Disney Frozen: Olaf's Quest
00040000000A4300	TBHE	River City Ransom™
00040000000C3900	AZGJ	パズドラＺ
0004000000111200	BSWJ	キラメキ わくわくスイーツ
000400000010EF00	JEFJ	エクスケーブ
000400000010EE00	AD3J	ゲームざんまい
000400000010B600	GA8J	ぷよぷよ通
0004000000104900	BVZJ	VitaminZ Revolution
0004000E00100900	AH4Z	更新資料 Ver. 1.1  MONSTER HUNTER 4
0004000E0004B500	AH4J	更新データ Ver. 1.1 モンスターハンター4
00040000000ED800	AAVP	Barbie® Dreamhouse Party 
0004000000115700	BZLZ	The Legend of Zelda:  A Link Between Worlds (英文版)
000400000010FC00	RCHJ	ヨッシーのパネポン
0004000E000ADA00	ANAJ	更新データ Ver. 1.1 ピカピカナース物語2
00040000000E5E00	ABUP	My Exotic Farm
0004000000107500	JRJE	Ohno Odyssey
00040000000D4600	JXME	Christmas Wonderland 3
00040000000B2E00	TBUE	City Connection™
0004000E000DD900	AH9E	Hakuoki: Memories of the Shinsengumi Update
00040000000CFE00	AJUE	Jewel Match 3
0004000E00104A00	BJPJ	更新データ Ver.1.1ジュエルペット カフェで魔法のクッキング!
0004000000104C00	BK2J	こびとづかん こびとの不思議 実験セット
0004000000111F00	JUTJ	アーバントライアル: フリースタイル
0004000000117000	JK7J	どこぽんちょいす 名探偵コナン Vol.2 11～20巻パック
00040000000EFD00	QAZJ	ロックマンX サイバーミッション
0004000000118400	AUGJ	おしゃべりうさぎ おしゃれコレクション
0004000000110C00	BBKJ	ぼくは航空管制官 エアポート ヒーロー3D 新千歳 with JAL
0004000000102D00	BDDJ	ハイスクールD×D
00040000000E9000	JU2J	極めろ!瞬間ジャンプ検定
000400000010DC00	AHNZ	初音未來 Project mirai 2 (日文版)
00040000000F1D00	AEYP	Meine Tierpension 3D - Tapsige Tierbabys
000400000010AE00	JWCP	World Conqueror 3D
00040000000B7200	TB6P	Crash'n the Boys Street Challenge
000400000010A400	JANP	Angry Bunnies
00040000000DD400	ATSJ	マリオパーティ アイランドツアー
00040000000E5300	JMLP	Mystery Murders: The Sleeping Palace
0004000000109C00	JHWZ	Heyawake by Nikoli
00040000000C0C00	JSHE	3D Space Harrier
00040000000FC800	JHZJ	honto for ニンテンドー3DS
0004000000119300	ATSZ	Mario Party: Island Tour (英文版)
00040000000E7000	ABUE	My Exotic Farm
00040000000AA200	AYJE	Young Justice: Legacy
0004000000107800	JAVE	Race To The Line
00040000000C0D00	JHAE	3D Super Hang-On
000400000011D400	BPSJ	PIKMIN Short Movies 3D
00040000000F4B00	JKQJ	脱出アドベンチャー 悪夢の死神列車
000400000011D800	JF6J	どこぽんちょいす FAIRY TAIL Vol.1 1～10巻パック
00040000000FFC00	AYTK	동키콩 리턴즈 3D
0004000E00103900	JDWJ	更新データ Ver.1.1 @SIMPLE DL Vol.20 THE カード
0004000000106600	AEHZ	Disney Frozen: Olaf’s Quest
00040000000A6B00	TBRE	Ninja Gaiden™ III: The Ancient Ship of Doom
00040000000FFD00	TDXJ	バイオミラクル ぼくってウパ
00040000000FD700	ACHK	짱구는 못말려 판타스틱-! 우주별 대모험!!
0004000E0005E900	AFFJ	更新データ Ver.1.1 BRAVELY DEFAULT -FLYING FAIRY-
0004000000105100	BVXJ	VitaminX Evolution Plus
00040000000CBA00	AL8K	닌텐도 3DS 가이드 루브르 박물관
00040000000F0A00	AEFP	Monster High™ 13 Wünsche
000400000010E100	AEFZ	Monster High™ 13 Wishes
000400000010A600	JF4P	Fishdom H2O: Hidden Odyssey
00040000000B5800	TBYP	Double Dragon
0004000E000FCE00	AH9P	Hakuoki: Memories of the Shinsengumi Update
00040000000B6000	TB4P	Donkey Kong™ 3
00040000000C9B00	JTTA	Pokémon™ Bank
00040000000C9C00	NLMA	Poké Transporter
0004000000102600	AY9P	Adventure Time™: Explore the Dungeon Because I DON’T KNOW!
00040000000CCD00	JYTP	YouTube
00040000000F9700	JKUJ	王だぁランド!
000400000010F400	JEVJ	電脳からの脱出 escapeVektor
000400000011DA00	JYQJ	どこぽんちょいす 夜桜四重奏～ヨザクラカルテット～ Vol.1 1～10巻パック
0004000000084D00	ACUP	AeternoBlade
00040000000B5F00	TB4E	Donkey Kong™ 3
00040000000C1B00	AHME	Brilliant Hamsters!
00040000000D9D00	JA7E	3D Altered Beast
00040000000DA000	JHJE	3D Sonic The Hedgehog
00040000000E6A00	AD5E	Cloudy With a Chance of Meatballs 2
0004000E00027800	HMEK	엇갈림 Mii 광장 업데이트 데이터
0004000000114800	JARJ	Aiレース:スピード
000400000011DB00	JTHJ	どこぽんちょいす ちはやふる Vol.1 1～10巻パック
00040000000CF500	BDMJ	ドラゴンクエストモンスターズ2 イルとルカの不思議なふしぎな鍵
00040000000D9E00	JDLE	3D Ecco the Dolphin™ 
00040000000C0B00	JGFE	3D Galaxy Force II
00040000000B4800	ANLP	Girls' Fashion Shoot
0004000000116E00	JWLE	Life with Horses 3D
0004000000105000	AH4K	몬스터헌터 4
00040000000B6F00	ANLD	Model 3D dein Fashion Shooting
00040000000C0900	JGFP	3D Galaxy Force II
0004000E000A0B00	ANEJ	更新データ Ver. 2.1 大合奏!バンドブラザーズP
0004000000106100	SPJK	3D 체험 영상 2
0004000000109A00	JZ2E	My Style Studio: Hair Salon
0004000000109B00	JK6Z	Kakuro by Nikoli
00040000000D9F00	JSNE	3D Shinobi III: Return of the Ninja Master
00040000000DA100	JRAE	3D Streets of Rage
0004000000116B00	JSRE	Banana Bliss: Jungle Puzzles
0004000000114200	JVNJ	3D アフターバーナーⅡ
00040000000FB800	JSZJ	SWORDS & DARKNESS
0004000000111E00	JGYJ	チャリ走 DX2 ギャラクシー
0004000000114100	JPSJ	プチノベル「収穫の十二月」
0004000000114F00	JWCJ	WORLD CONQUEROR 3D
0004000000108200	JHKJ	DQM2 モンスター引越しアプリ -テリーからイルとルカへ-
00040000000C3A00	ADXJ	デビルサバイバー2 ブレイクレコード
0004000E00106700	BKPJ	更新データ Ver. 1.1 キャラペット つくって!そだてて!キャラクター小学校
00040000000F8B00	TDPJ	ファイナルファンタジー
00040000000F1500	JU2E	Jump Trials Supreme
00040000000B5700	TBYE	Double Dragon™
000400000006E900	TABP	Super Mario Bros.™ 3
0004000E00102600	AY9P	Adventure Time™: ETDBIDK Update
00040000000B5B00	TBZP	Life Force
0004000000117700	JP8P	101 Penguin Pets 3D
00040000000CD300	ACUE	AeternoBlade
0004000000112800	BNWJ	マギ 新たなる世界
0004000000116300	JSRP	Banana Bliss: Jungle Puzzles
0004000000108A00	JEGP	EDGE
0004000000117B00	AWSE	Winter Sports - Feel the Spirit
00040000000B7100	TB6E	Crash 'n the Boys™ Street Challenge
0004000E000CBD00	JCTJ	更新データ Ver. 1.4 みんなのおしゃべりチャット
0004000E0009EF00	AQVJ	更新データ Ver. 1.1 メダロットDUAL カブトVer.
0004000E0009F000	AQAJ	更新データ Ver. 1.1 メダロットDUAL クワガタVer.
0004000000108B00	JEGE	EDGE 
0004000E00105000	AH4K	업데이트 데이터 Ver. 1.1 몬스터헌터 4
0004000000117F00	AWSZ	Winter Sports 2012 - Feel the Spirit
0004000000095900	JBJP	Akari by Nikoli
00040000000D3E00	QAWP	Mario Tennis™
0004000000113C00	JT4K	GEKIYABA RUNNER
0004000000112300	JQ7E	Cubit The Hardcore Platformer Robot
0004000000109D00	JHTZ	Hitori by Nikoli
0004000000112500	JXSP	Bird Mania Christmas 3D
0004000000110800	JSYJ	スピードX3D ハイパーエディション
0004000000113D00	JXSE	Bird Mania Christmas 3D
000400000011E700	ABZJ	バルダーダッシュXL 3D
00040000000EFF00	QA2J	ロックマンX2 ソウルイレイザー
00040000000E2300	PNQJ	THE 功夫
00040000000DF900	PNAJ	グラディウス
000400000010F300	JAKJ	殺人ミステリー 切り裂きジャック
0004000E00103200	BWNJ	更新データ Ver. 1.2 わんニャンペットショップ
000400000011E100	JZVJ	どこぽんちょいす HUNTER×HUNTER カラー版 Vol.1 1～10巻パック
0004000000122100	JZZJ	近くのバンブラPを持っている人と一緒に合奏できる 大合奏!バンドブラザーズP合奏専用ソフト
0004000000107F00	BKEJ	Karous-The Beast Of Re:Eden-
0004000000112000	BTTJ	闘神都市
00040000000E9A00	BTHJ	シアトリズム ファイナルファンタジー カーテンコール
00040000000D7C00	JNUJ	STEELDIVER SUBWARS
00040000000FC500	BTRE	Bravely Default™
0004000E000F4000	BDNJ	更新データ Ver. 1.2 ダンボール戦機ウォーズ
0004000E000FB400	AYCJ	更新データ Ver. 1.1 モデル☆おしゃれオーディション ドリームガール
0004000E000CC400	AHNJ	更新データ Ver. 1.1 初音ミク Project mirai 2
00040000000BD100	TB7P	Mario Bros.™
000400000011F200	JP5J	どこぽんちょいす 黒子のバスケ カラー版 Vol.1 1～10巻パック
000400000011F300	JP6J	どこぽんちょいす キッチンのお姫さま 1～10巻パック
000400000010B700	GA9J	シャイニング･フォース外伝 ファイナルコンフリクト
0004000000116A00	BRDZ	One Piece: Romance Dawn
00040000000D3D00	QAWE	Mario Tennis™
00040000000BD000	TB7E	Mario Bros™
000400000011E300	JZXJ	どこぽんちょいす 絶体絶命でんぢゃらすじーさん Vol.1 1～10巻パック
000400000011E400	JZYJ	どこぽんちょいす 甘い悪魔が笑う Love is The Devil 1～6巻パック
000400000011DF00	JLVJ	どこぽんちょいす 今日、恋をはじめます 1～15巻パック
0004000E000AFD00	AX4J	更新データ Ver. 1.1 メタルマックス4 月光のディーヴァ
00040000000BDC00	TCBP	Castlevania Ⅱ Simon's Quest
0004000000115C00	NHRJ	カセキホリダー ムゲンギア はじまりの章
0004000000114700	JWMJ	コミック工房
00040000000F9600	TDUJ	FRONT LINE
0004000000101200	BPTJ	ぷよぷよテトリス
000400000010AD00	JM9Z	Masyu by Nikoli
00040000000A6C00	TBRP	Ninja Gaiden III: The Ancient Ship of Doom
0004000000107C00	JPME	Chibi-Robo!™: Photo Finder
00040000000FCD00	AYMK	마리오&루이지 RPG 4 드림 어드벤처
00040000000C2A00	ADHP	Mystery Case Files Dire Grove
000400000010EB00	BSKP	Etrian Odyssey™ Untold: The Millennium Girl
000400000010DD00	JEUP	INAZUMA ELEVEN™
0004000000102200	AFJS	La LEGO® Película: El Videojuego
000400000011B500	JXXJ	大人 VS グレコ 漢字の塔とオバケたち 常識編
